TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1004,05:41:46.32,56,T,285.6,17.3,7.0,0.030706,0.051239,0.010564,0.003762,0.002561,0.000155,0.026836,0.066512,0.060215,-6.3,1
1004,05:41:46.45,57,T,285.1,17.5,7.4,0.0257,0.041138,0.005593,0.023779,0.001549,0.020257,0.093836,0.026916,0.073473,-6.2,1
1004,05:41:46.87,58,T,282.1,17.9,7.29,0.013919,0.099708,0.015935,0.009027,0.035373,0.071256,0.025855,0.058276,0.018567,-9.1,1
1004,05:41:46.92,59,T,282.0,17.3,7.02,0.05221,0.016868,0.03999,0.010099,0.061005,0.019893,0.003908,0.07171,0.04974,0.9,1
1004,05:41:47.75,61,T,281.9,17.2,7.11,0.098668,0.038594,0.060522,0.019163,0.015591,0.034043,0.053033,0.071534,0.07195,-13.0,1
1004,05:41:47.85,62,T,281.8,17.3,7.14,0.034168,0.091999,0.08406,0.051356,0.028331,0.06436,0.04614,0.018656,0.079092,-6.1,1
1004,05:41:47.90,63,T,281.2,17.5,7.19,0.018468,0.08384,0.01532,0.059972,0.080966,0.044189,0.000767,0.095698,0.045096,-3.9,1
1004,05:41:47.91,64,T,280.6,17.2,7.06,0.073265,0.045776,0.027258,0.064773,0.068026,0.042639,0.052542,0.025085,0.060212,-5.5,1
1004,05:41:48.28,66,T,276.9,17.4,7.39,0.015144,0.048031,0.014267,0.038085,0.01217,0.02728,0.014389,0.032687,0.017577,8.3,1
1004,05:41:48.45,67,T,274.4,17.8,7.04,0.06015,0.05977,0.01973,0.012977,0.089587,0.070813,0.007071,0.088688,0.091598,10.0,1
1004,05:41:48.51,68,T,273.7,17.9,7.3,0.087191,0.032318,0.059492,0.080889,0.054063,0.073141,0.003264,0.096278,0.064954,-4.6,1
1004,05:41:48.77,69,T,272.7,17.3,7.18,0.097107,0.086933,0.020791,0.025011,0.023412,0.052877,0.070676,0.008656,0.010573,-8.6,1
1004,05:41:49.10,71,T,271.4,17.2,7.31,0.064951,0.0675,0.036738,0.041726,0.004978,0.068869,0.006803,0.041466,0.018756,-2.6,1
1004,05:41:49.33,72,T,268.8,17.4,7.04,0.055568,0.083137,0.091627,0.031671,0.043794,0.039256,0.067796,0.042573,0.071155,2.8,1
1004,05:41:49.35,73,T,268.7,17.5,7.32,0.047907,0.072718,0.050383,0.091666,0.056327,0.03776,0.098755,0.004827,0.049796,-1.0,1
1004,05:41:49.43,74,T,268.3,17.3,7.17,0.087624,0.018856,0.099034,0.063253,0.058165,0.077332,0.085732,0.042038,0.073489,5.8,1
1004,05:41:50.67,76,T,264.3,17.7,7.15,0.074556,0.055229,0.069011,0.087817,0.084854,0.062028,0.012452,0.081561,0.068666,-5.0,1
