TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,MODE,TP_RELEASED,ALTITUDE,TEMPERATURE,VOLTAGE,GPS_TIME,GPS_LATITUDE,GPS_LONGITUDE,GPS_ALTITUDE,GPS_SATS,SOFTWARE_STATE,CMD_ECHO
1004,05:40:51,1,C,F,N,53.8,29.4,7.23,05:40:51,19.2104,72.8243,53.8,4,1,CX_ON
1004,05:40:52,10,C,F,N,301.3,29.7,7.27,05:40:52,19.2104,72.8244,301.3,4,1,CX_ON
1004,05:40:53,15,C,F,N,431.6,29.3,7.25,05:40:53,19.2105,72.8245,431.6,4,1,CX_ON
1004,05:40:54,20,C,F,N,572.8,29.7,7.35,05:40:54,19.2105,72.8246,572.8,4,1,CX_ON
1004,05:40:55,25,C,F,N,689.2,29.4,7.29,05:40:55,19.2106,72.8247,689.2,4,1,CX_ON
1004,05:40:56,30,C,F,N,785.7,29.8,7.26,05:40:56,19.2106,72.8248,785.7,4,1,CX_ON
1004,05:40:57,35,C,F,N,858,30,7.35,05:40:57,19.21066,72.8249,858,4,1,CX_ON
1004,05:40:58,40,C,F,N,913.9,29.1,7.23,05:40:58,19.21070571,72.825,913.9,4,1,CX_ON
1004,05:40:59,45,C,F,N,953.4,29.1,7.26,05:40:59,19.21075143,72.8251,953.4,4,1,CX_ON
1004,05:41:00,50,C,F,N,978.7,29.6,7.2,05:41:00,19.21079714,72.8252,978.7,4,1,CX_ON
1004,05:41:01,55,C,F,N,962.1,29.7,7.35,05:41:01,19.21084286,72.8253,962.1,4,6,CX_ON
1004,05:41:02,60,C,F,N,946.9,29.7,7.2,05:41:02,19.21088857,72.8254,946.9,4,6,CX_ON
1004,05:41:03,65,C,F,N,931.6,30,7.22,05:41:03,19.21093429,72.8255,931.6,4,6,CX_ON
1004,05:41:04,70,C,F,N,914.5,29.8,7.35,05:41:04,19.21098,72.8256,914.5,4,6,CX_ON
1004,05:41:05,75,C,F,N,895.1,29,7.24,05:41:05,19.21102571,72.8257,895.1,4,6,CX_ON
1004,05:41:06,80,C,F,N,881,29.6,7.23,05:41:06,19.21107143,72.8258,881,4,6,CX_ON
1004,05:41:07,85,C,F,N,862.6,29.4,7.38,05:41:07,19.21111714,72.8259,862.6,4,6,CX_ON
1004,05:41:08,90,C,F,N,847.2,29.6,7.22,05:41:08,19.21116286,72.826,847.2,4,6,CX_ON
1004,05:41:09,95,C,F,N,831.4,29.8,7.22,05:41:09,19.21120857,72.8261,831.4,4,6,CX_ON
1004,05:41:10,100,C,F,N,813.5,30,7.23,05:41:10,19.21125429,72.8262,813.5,4,6,CX_ON
1004,05:41:11,105,C,F,N,799.9,29,7.26,05:41:11,19.2113,72.8263,799.9,4,6,CX_ON
1004,05:41:12,110,C,F,N,782.3,30,7.35,05:41:12,19.21134571,72.8264,782.3,4,6,CX_ON
1004,05:41:13,115,C,F,N,766.1,29.1,7.35,05:41:13,19.21139143,72.8265,766.1,4,6,CX_ON
1004,05:41:14,120,C,F,N,746.9,29.2,7.25,05:41:14,19.21143714,72.8266,746.9,4,6,CX_ON
1004,05:41:15,125,C,F,N,729.8,29.2,7.37,05:41:15,19.21148286,72.8267,729.8,4,6,CX_ON
1004,05:41:16,130,C,F,N,714.2,29.3,7.23,05:41:16,19.21152857,72.8268,714.2,4,6,CX_ON
1004,05:41:17,135,C,F,N,699.1,29.2,7.22,05:41:17,19.21157429,72.8269,699.1,4,6,CX_ON
1004,05:41:18,140,C,F,N,685,29.4,7.38,05:41:18,19.21162,72.827,685,4,6,CX_ON
1004,05:41:19,145,C,F,N,665.2,29.1,7.23,05:41:19,19.21166571,72.8271,665.2,4,6,CX_ON
1004,05:41:20,150,C,F,N,648.6,29.6,7.4,05:41:20,19.21171143,72.8272,648.6,4,6,CX_ON
1004,05:41:21,155,C,F,N,631.9,29.7,7.36,05:41:21,19.21175714,72.8273,631.9,4,6,CX_ON
1004,05:41:22,160,C,F,N,618.8,29.4,7.23,05:41:22,19.21180286,72.8274,618.8,4,6,CX_ON
1004,05:41:23,165,C,F,N,602.4,29.1,7.39,05:41:23,19.21184857,72.8275,602.4,4,6,CX_ON
1004,05:41:24,170,C,F,N,587.2,30,7.31,05:41:24,19.21189429,72.8276,587.2,4,6,CX_ON
1004,05:41:25,175,C,F,N,571.4,30,7.2,05:41:25,19.21194,72.8277,571.4,4,6,CX_ON
1004,05:41:26,180,C,F,N,552.6,29.4,7.21,05:41:26,19.21198571,72.8278,552.6,4,6,CX_ON
1004,05:41:27,185,C,F,N,537,29.2,7.32,05:41:27,19.21203143,72.8279,537,4,6,CX_ON
1004,05:41:28,190,C,F,N,522.6,29.4,7.35,05:41:28,19.21207714,72.828,522.6,4,6,CX_ON
1004,05:41:29,195,C,F,N,509.1,29.5,7.26,05:41:29,19.21212286,72.8281,509.1,4,6,CX_ON
1004,05:41:30,200,C,F,N,498.2,29.7,7.39,05:41:30,19.21216857,72.8282,498.2,4,6,CX_ON
